TÊN TRUYỆN: Triệu Hoán Đại Ma Đầu
TÁC GIẢ: 沙蝎
------------------------------

=== Đường Hoàng Tuyền Mới Giác Tỉnh (#1) ===

Người đăng: buikhiemhtc@

Thứ 001 chương trên đường hoàng tuyền mới Giác Tỉnh 



	( tác giả lời mở đầu: nhìn kỹ mấy vạn chữ, ta bảo đảm ngươi không uổng chuyến này 
	Hắn nếm thử định trụ thân thể, xác nhận chính mình còn cũng đủ kháng cự, mới thoáng yên tâm.



	Lúc sau đích hơn mười dặm lộ trình làm cho hắn kiến thức  cái gì gọi là Quỷ Vực, linh hồn hải dương nhấc lên  kinh đào hãi lãng, vong linh đội ngũ bị xả đích dập nát, này đó hồn thể xoay tròn  ném không trung, sau đó đột nhiên đang lúc nổ mạnh mở ra, biến thành  một đám tinh tế quang điểm.



	Nếu này đó vong linh ủng có ý thức trong lời nói, khắp không gian đã muốn giống Tu La địa ngục một mảnh gào thét .



	Dịch tiểu thất trợn mắt há hốc mồm nhìn sổ lấy vạn kế đích linh hồn nháy mắt nổ mạnh, hóa thành đầy trời quang điểm lưu tinh bàn cực nhanh trước mắt, bị hút vào Hoàng Tuyền lộ càng sâu chỗ, tim của hắn đều bắt đầu run rẩy.



	Đối với hồn thể có thâm trình tự lý giải đích hắn biết, hồn thể bị hủy rụng này ý nghĩa bọn họ cuối cùng về điểm này tàn thức đều mai một , mà về điểm này quang còn lại là địa hồn chi hạch, bị cướp đoạt hết thảy tàn thức đích địa hồn muốn lần thứ hai chuyển thế thành * nhân đích cơ hội xa vời đích có thể xem nhẹ bất kể.



	Thật sâu thở dài, dịch tiểu thất đột nhiên hiểu được đến chuyển thế đầu thai kỳ thật chính là một loại tốt đẹp nguyện vọng mà thôi, Hoàng Tuyền lộ bày ra đích hết thảy vô tình địa nói cho hắn biết, cái gọi là đích Mạnh bà thang chính là một hồi chung cực đại tắm bài, này liền là thật đích lục đạo luân hồi.



	Sau một lát, ngay cả cá lô xà bực này cường hãn đích hồn thể đều bắt đầu tự bạo , cùng mặt khác hồn thể không có bao nhiêu khác nhau, chính là này đó ma loại đích địa hồn chi hạch là mặc lục sắc đích, hỗn loạn ở màu trắng quang điểm nội, có vẻ thập phần chói mắt.



	Dịch tiểu thất kìm lòng không đậu kháng cự  kia đùi hấp lực, làm cho tốc độ giảm chậm lại, trong lòng hắn còn tồn  vài phần không cam lòng, dù sao này còn không phải Hoàng Tuyền cuối đường.



	Ngay tại phương pháp khu nội đích hồn thể trở nên cực kỳ không xong đích thời điểm, tiền phương cảnh tượng đột nhiên thay đổi, hắn nhìn đến Hoàng Tuyền lộ tựa hồ rồi đột nhiên lần khoan, sở hữu đích sao nhiều điểm hướng tới bốn phương tám hướng khuếch tán đi ra ngoài.



	Đó là một vô cùng đồ sộ đích hình ảnh, liền giống như giếng phun, ánh sáng ngọc đích quang điểm sái hướng không trung, đầu hướng vô tận âm u.



	Đặt mình trong tại đây cái giếng phun chi khẩu, dịch tiểu thất pháp nhãn chớp động, hắn nhìn đến tại đây thật lớn đích màn trời thượng nhưng lại chi chít như sao trên trời  từng đạo vạn phần quỷ dị đích phức tạp đồ án, chúng nó bên trong lóe ra  trong suốt trong sáng đích ti mũi nhọn, nếu ngưng thần nhìn, này đó tế ti giống như tất cả đều sống lại, đoạt lòng người thần, cho ngươi đầu váng mắt hoa, không thể tự chế.



	Những thứ này là cái gì?



	Dịch tiểu thất đầu tiên mắt đích cảm giác là, này đó đồ án là người vi đích, nhưng hồi tưởng một chút, lại cảm thấy được không hề có thể, không là bởi vì này đó đồ án lấy bất khả tư nghị đích phương thức được khảm ở trên hư không, mà là chúng nó sở ẩn chứa đích cái loại này hồn nhiên thiên thành đích cảm giác.



	Đương nhiên, này đó ý niệm trong đầu chính là ở trong lòng hắn lăn lộn một chút, đi vào này bên cạnh sau, mà ngay cả hắn đích pháp thể cũng có chút ăn không tiêu , tam hồn lục phách đều có loại phân liệt đích cảm giác.



	Lúc này, hắn đích hồn niệm lại ngoài ý muốn cảm nhận được nhị cổ cường đại đích hồn tức, bỗng nhiên ngẩng đầu, hướng tới mấy trăm trượng nơi nào đó trời cao nhìn lại, thế nhưng phát hiện mặt trên cư nhiên hai toàn thân màu vàng đích hoàng kim cá lô xà đang ở giữa không trung cố gắng giãy dụa .



	Từ lần trước nhìn thấy kia chỉ hoàng kim cá lô xà tiến giai sau, hắn sẽ thấy không phát hiện bực này cao giai đích tên , không nghĩ tới tại đây cái cuồng bạo nơi một chút gặp được hai. ! ~!.

==================================================

=== Đệ 007 chương cực âm chi hỏa phá Hoàng Tuyền (#7) ===

Người đăng: buikhiemhtc@

Ở trong hoàn cảnh này, hắn đương nhiên sẽ không ngốc đến đi bắt giữ chúng nó, hơn nữa hắn cũng ẩn ẩn nhìn ra, lệnh hoàng kim cá lô xà không thể đào thoát đích không chỉ có riêng là kia đùi hấp lực, nếu cũng đủ cẩn thận, là có thể phát hiện, màn trời trên không huyền phù đích chứa nhiều phức tạp đồ án trung, khoảng cách gần đây đích kia khối bắn ra một cái tinh tế đích chỉ bạc, vừa lúc quấn quanh ở hoàng kim cá lô xà đích trên người. 



	Chính là kia cái chỉ bạc, thế nhưng chặt chẽ đem phược ngụ ở, mặc cho chúng nó như thế nào giãy dụa đều không làm nên chuyện gì.



	Dịch tiểu thất đối hoàng kim cá lô xà đích cường đại tối đủ trực quan hiểu biết, chúng nó có thể nói là Hoàng Tuyền lộ hồn thể đích đỉnh tồn tại, chúng nó có gặp may mắn đích tính chất đặc biệt, bọn họ có thể ở còn nhỏ kỳ liền ngưng luyện ra một bộ cường nếu giáp trụ đích hồn thể thể xác, tại đây đốt, dịch tiểu ngày thành lập Đảng cộng sản Trung Quốc thẳng rất là khó hiểu, hắn là thẳng đến pháp thể đại viên mãn mới có được loại năng lực này đích.



	Đỉnh thời kì đích hồn thể thể xác cường độ cực cao, cho dù dịch tiểu thất đối này thi triển chấn hồn đều khả mạnh mẽ thừa nhận xuống dưới, bởi vậy này đó hoàng kim cá lô xà ở chống cự hấp lực phương diện trên thực tế cũng không so với dịch tiểu thất kém hơn nhiều ít.



	Ngay cả hoàng kim cá lô xà đều không thể kháng cự đích lực lượng dịch tiểu thất như thế nào dễ dàng khiêu khích.



	Ngay cả chúng nó đều tránh khỏi một kiếp sao? Này đó đỉnh kỳ đích cá lô xà nếu sớm một chút biết trước nguy hiểm, điểm ấy hấp lực hẳn là không làm khó được bọn họ, trừ phi...



	Nhìn đầy trời địa hồn chi hạch phát ra đích quang huy, dịch tiểu thất  đột nhiên hiểu được hoàng kim cá lô xà hãm thân nên chỗ đích nguyên nhân chủ yếu.



	Hoàng kim cá lô xà muốn tấn chức ma đầu cũng không phải trong tưởng tượng dễ dàng như vậy, tới bọn họ tình trạng này, chúng nó khuyết thiếu đích không phải hồn tức, mà là trọng yếu nhất đích hồn thức. Địa hồn là hồn thức đích nguyên phát địa, chúng nó mượn dùng thôn tính này đó vô chúa đích địa hồn chi hạch đến đột phá cuối cùng đích cái chắn.



	Đáng tiếc chính là, tham lam lệnh chúng nó trả giá  đại giới, chúng nó đánh giá thấp bên này duyến nơi đích đáng sợ.



	Dịch tiểu thất nguyên bản ngoài ý muốn tạm thời không có cái gì lực lượng uy hiếp được chính mình, không nghĩ tới màn trời trung này nhìn như vô hại đích đồ án vào giờ khắc này thế nhưng như là sống lại bình thường, hắn giống như cảm giác có vô số ánh mắt hướng hắn nhìn quét lại đây, như là tham lam đích lang mâu.



	Loại này giống như bị nào đó vật còn sống thấy rõ đích cảm giác như là nước lạnh đúc ở trên người của hắn, làm hắn toàn thân lông tơ đứng vững.



	Này còn không chỉ, bỗng nhiên màn trời thượng đồ án chợt hiện, bốn phía hấp lực cư nhiên vào giờ khắc này như là lên cao hơn mười lần, dịch tiểu thất nhất thời hai chân không xong, phương pháp thân hồn lực cổ đãng, kinh hãi bên trong nỗ lực chống cự.



	Giữa không trung giãy dụa đích kia hai hoàng kim cá lô xà vốn đã là tình trạng kiệt sức, giờ phút này lại bất ngờ không kịp đề phòng, khoảnh khắc đánh  cổn nhanh chóng bị kéo đến rất cao chỗ.



	Nhưng thấy trăm ngàn nói chỉ bạc rồi đột nhiên tự bốn phương tám hướng bắn tới, giã ở hai còn tại cố gắng giãy dụa đích hoàng kim cá lô thân rắn thượng, nó kia ánh vàng rực rỡ đích pháp khu nhất thời bạo liệt, hai luồng màu vàng đích địa hồn chi hạch hóa thành hai đạo quang hoa, khoảnh khắc bị trong đó màn trời trung một cái đồ án cấp hút đi.



	Dịch tiểu thất nhìn xem da đầu run lên, hắn đã muốn không ôm có bất cứ hy vọng nào, mắt thấy bốn phía hấp lực càng lúc càng lớn, lại nhìn màn trời trung trương trương bát quái hình thái, văn lộ phức tạp đích đồ án từng cái thắp sáng, như là mở mắt ra đích quái thú, hắn không hề có gì do dự, phản thân hướng tới một chỗ không có gì đồ án đích hư không phóng đi.



	Hắn phải phá vỡ huyền minh, về phần hay không hội bởi vậy rơi vào Ma Vực, hãm thân vô tận hắc ám, hắn đã muốn trông nom  không được , vô luận như thế nào, chỉ cần có ý thức, quyền quyết định liền còn nắm giữ ở trong tay hắn.



	Nếu có thể nắm chắc vận mệnh của mình, cần gì phải đem quyền quyết định giao cho ông trời đâu!



	Dịch tiểu thất giống như cảm thấy được chính mình như là lâm vào vô cùng vô tận đích lưu sa trong vòng, bốn phía tất cả đều là thật nhỏ đích màu vàng khỏa lạp, thật lớn đích lực lượng áp bách  hắn, càng là xâm nhập, áp lực cũng lại càng lớn.



	Loại này hồn cố giữ vững tục đích tiêu hao ngay cả hắn cũng có chút ăn không tiêu, hắn cũng không biết đi phía trước xâm nhập  bao lâu, nhưng thủy chung như là không có cuối, áp lực đã muốn đạt tới đáng sợ đích giai đoạn, nếu hắn chính là đủ phàm khu, giờ khắc này đã sớm hóa thành thịt vụn .



	Nãi nãi,bà nội địa, lão tử cũng không tin này tà , dựa vào cái gì ma đầu có thể phá vỡ, lão tử sẽ bị nhốt tử giữa! Lão tử cho dù đánh cũng muốn đánh ra một cái lộ đến!



	Liên tục đích cao áp không chỉ có không tiêu ma rụng ý chí của hắn, ngược lại khơi dậy trong lòng hắn đích kia đùi tính nóng. Trong mắt kia lũ u lam đích hồn hỏa nhảy lên, theo sau toàn bộ đầu đều đằng khởi màu lam ngọn lửa, này đùi ngọn lửa cũng không có thiêu hủy hắn đỉnh đầu bộ lông, lại làm cho hắn đích bộ lông tủng đứng lên, thoạt nhìn cực kỳ quỷ dị.



	Giống như lửa cháy lan ra đồng cỏ chi hỏa, nguyên bản giới hạn vu đầu đích màu lam ngọn lửa lan tràn đi xuống, theo bả vai, hai tay, bộ ngực cùng với chân, đã muốn trải rộng toàn thân, hắn cả người đều ở thiêu đốt giữa.



	Nếu một màn này làm cho mỗ cái ma đầu thấy nhất định hội kinh ngạc vạn phần, loại này hồn diễm cũng không phải là đơn giản đích ngưng tụ hồn lực quá trình, loại này ngọn lửa là hồn thể đích căn nguyên chi hỏa, tiêu hao nó sẽ gặp lệnh hồn thể lâm vào suy yếu, cần thời gian dài mới có thể khôi phục, bởi vậy cho dù là pháp thân viên mãn đích ma đầu cũng tuyệt không hội đại diện tích sử dụng nó.



	Dịch tiểu thất là điên cuồng đích, nếu tới rồi loại này không chết không ngừng đích nông nỗi, cùng với chậm rãi tiêu hao, tươi sống buồn tử, còn không bằng tha khai tay chân, toàn lực nhất bác.



	Hồn diễm cũng không phải bình thường đích hỏa, nó thuộc loại âm hỏa, cực âm chi hỏa.



	Hồn hỏa chính là cái gọi là đích âm hỏa, chỉ chính là một người cực đoan, nó sinh ra chính là hàn diễm.



	Hàn diễm cũng sẽ không làm vật thể kết băng, ngược lại hội lệnh vật thể thiêu đốt, có được bình thường hỏa đích đặc tính, độ ấm thượng rồi lại hoàn toàn tương phản, nhưng nó có thể bám vào gì vật thể phía trên thiêu đốt, mặc dù nho nhỏ một chút hồn hỏa, ẩn chứa đích năng lượng cũng là không phải là nhỏ đích.



	Dịch tiểu thất vô dừng vận hành hồn lực, kết xuất nhiều điểm hồn hỏa, thẳng đến cả người đều bắt đầu bị điểm nhiên, lúc này, thân thể của hắn chung quanh huyền phù đích màu vàng khỏa lạp vật chất sớm bị bốc hơi đích hồn hỏa sở nóng chảy, khiến cho trên người hắn áp lực chợt giảm bớt.



	Hắn thừa lúc  cơ hội này, lập tức hướng phía trước phương cấp tốc bay vút.



	Mờ mịt huyền hoàng, vô hưu vô chỉ.



	Hắn đích hồn lực đuổi dần khô kiệt, trên người duy trì đích hồn hỏa cũng càng ngày càng mờ đạm.



	Dịch tiểu bảy trăm tư không được kỳ giải, y theo phỏng chừng, hắn ít nhất cũng bay ra ngàn dậm xa , này cái chắn tái hậu cũng nên chấm dứt, hơn nữa theo lý thuyết, chính mình hiện tại đích hồn thể có điều,so sánh ma đầu chỉ biết càng thêm thâm hậu, vì sao chúng nó ăn mặc quá huyền minh, mà hắn ngược lại lực có chưa đãi đâu.



	Trong cơ thể hồn lực sắp khô cạn, thân thể hồn hỏa cũng dần dần ảm đạm xuống dưới, bốn phía càng thêm rất nặng đích cát vàng đè xuống, hắn sắc mặt như thổ bụi, hắn biết này phiến cát vàng khép lại, vậy đem trở thành hắn đích mai cốt nơi.



	Hắn lại là tức giận lại là không cam lòng, thúc dục còn thừa đích hồn lực, đem hồn hỏa tập trung ở hai đấm bên trong, hét lớn một tiếng, huy quyền đem hồn hỏa phóng ra đi ra.



	Ầm vang!



	Tuy rằng chính là tụ tập còn sót lại hồn lực, cho dù so với lúc trước kia chỉ hoàng kim cá lô xà phát ra đích hồn hỏa uy lực mạnh hơn nhiều, khoảnh khắc màu lam đích ngọn lửa vui chạy chồm, tiền phương khắp ‘ cát vàng ’ đều bạo liệt thành phấn mạt, kỳ dị chuyện tình đã xảy ra, nguyên bản không cửa không đường đích ‘ cát vàng ’ cái chắn đột nhiên liền hơn một cái lỗ thủng, như là trang giấy bị đốt trọi ra một cái động lớn.



	Dịch tiểu thất vốn đã kinh tuyệt vọng, nhìn đến này đại động, ngay cả không hề nghĩ ngợi, lập tức lắc mình đi vào.



	Hắn mới vừa vừa ly khai, ngàn vạn lần tấn cát vàng đã muốn áp hướng hắn đặt mình trong chỗ,nơi, đồng thời phía sau này lỗ thủng cũng chợt đóng cửa. ! ~!.

==================================================

=== Đệ 008 chương thâm thúy lớn uyên thân bàng hoàng (#8) ===

Người đăng: buikhiemhtc@

Ngay sau đó, dịch tiểu thất ra hiện tại một cái mở mang đích không gian nội, bốn phía ánh sáng thiên hướng vu u ám, hắn không kịp đánh giá, liền lập tức nhắm mắt lại, làm cho hồn tức ở trong cơ thể tự nhiên lưu chuyển, tích lũy khởi tiêu hao sạch sẽ đích hồn lực. 

	Hắn chưa bao giờ nếm thử quá hao hết hồn lực đích tư vị, giờ phút này toàn thân đã muốn xu hướng hư thoát, ngay cả ngón tay đều không thể nhúc nhích một chút, nếu lúc này đến thượng một con cấp thấp nhất cá lô xà, chỉ sợ hắn cũng muốn đi đời nhà ma .



	Hồn lực là hồn tức lưu chuyển sau tự nhiên sinh ra đích năng lượng, y theo phương pháp thể đại viên mãn đích thực lực, hồn lực cơ hồ là vô cùng vô tận đích, vấn đề ở chỗ, hắn dùng hồn hỏa bao vây  thân thể, này giống như là có người châm  dưỡng khí, như vậy vô luận toàn bộ thế giới có bao nhiêu dưỡng khí, nháy mắt đều đã hóa thành hư ảo.



	Hiện giờ, chỉ có chờ hắn này căn nguyên thể trọng tân sinh ra hồn lực, này quá trình ở lúc ban đầu có lẽ hội thực thong thả, nhưng chỉ muốn nắm chắc tử, tự hành thúc dục hồn tức, như vậy khôi phục cường thịnh kỳ cũng là sắp tới đích.



	Không lâu lúc sau, dịch tiểu thất mở mắt ra con ngươi, hiện giờ hắn đích hồn thể tuy rằng suy yếu, nhưng là đã muốn không có đáng ngại.



	Nguyên lai phá vỡ huyền minh là ý tứ này a! Phía trước toàn bộ nghĩ muốn xóa liễu, nghĩ đến phải mặc qua đi, không công hao phí hồn lực, thật sự là bổn đích có thể!



	Hắn cười khổ nhìn quanh mọi nơi, trước biết rõ ràng chính mình hiện tại vị trí đích hoàn cảnh.



	Tuy rằng trong lòng có sở chuẩn bị, mà khi thấy rõ bốn phía tình huống sau, vẫn là sinh ra  một cỗ cảm giác mát.



	Thực hiển nhiên, hắn đã muốn không bị vây Hoàng Tuyền lộ trong phạm vi , bởi vì nơi này đích hoàn cảnh cùng Hoàng Tuyền lộ khác hẳn bất đồng, đó là một tịch lãnh đích khổng lồ không gian, thượng không thấy ngày, hạ không thấy địa, giống như đưa thân vào một cái thâm thúy vô cùng đích lớn uyên.



	Xa xa cô linh linh huyền phù  hình dạng khác nhau đích cự thạch, thoạt nhìn giống như là chính mình bị phao tới rồi ngoài không gian, cùng vẫn thạch làm bạn.



	Duy nhất không cùng chính là, nơi này thế nhưng tồn tại  phong.



	Tràn ngập ở bốn phía đích phong cũng không phải truyền thống ý nghĩa thượng đích phong, chúng nó bá đạo sắc bén, đặt mình trong giữa liền giống như bị vạn bả đao tử thổi qua, nếu không có hắn hiện tại đích thân hình mạnh mẻ vô cùng, gần này đó quái phong có thể đưa hắn tươi sống quả tử.



	Đầy trời quái phong trung tuy rằng ẩn chứa đối hồn thể hữu ích đích sát khí, nhưng là đồng thời cũng mang theo nào đó đối hồn thể trí mạng đích dương khí. Tương đối mà nói, Hoàng Tuyền lộ giống như nhà ấm, hồn thể nếu là đưa thân vào này, chỉ sợ vừa mới có ngọn đã bị tan rã rớt.



	Dịch tiểu thất pháp thể viên mãn, đã muốn nặng tố thịt khu, chỉ cần hồn trong cơ thể giấu, ngoại giới đích dương khí đã muốn thương không đến hắn .



	Nên chỗ đích ánh sáng nơi phát ra vu xa xôi đích một luồng lũ quang mang, này đó quang mang như là hoạt động đích, lấy  biến hoá kỳ lạ vạn phần đích tư thái, thong thả trôi đi, như là thất thải rực rỡ đích lụa mỏng, mang theo vài phần hư vô mờ mịt đích hương vị.



	Bất quá dịch tiểu thất dựa vào mắt thường cũng có thể đoán được đến, này đó lụa mỏng trạng đích sáng lên mang thực tế diện tích hẳn là thật lớn, như thế xa xôi đều có thể cảm giác được màu sa đích quang huy nhiệt lượng thừa, nếu tới gần chúng nó càng không biết hội có cái gì kết quả.



	Trừ bỏ quái phong, vẫn thạch, quang sa, còn có chính là xa xôi đích nhiều điểm hào quang , này hào quang vô quy tắc địa rơi rụng hư không, có có cái bàn lớn nhỏ, có chỉ có cây đậu lớn nhỏ, hình dạng phần lớn như là thật hình tam giác, cũng có đích trình bát giác hoặc là hình tròn, chúng nó quang mang cũng đủ mọi màu sắc, không đồng nhất mà cùng.



	Nếu không hình tượng kém quá xa, liếc thấy rơi rụng vết lốm đốm, hắn thiếu chút nữa nghĩ đến này là tinh thần .



	Này xa lạ địa vực tối không thiếu đích chính là các loại vẫn thạch trạng đích tảng đá đích, này đó tảng đá hoặc trong suốt trong sáng, hoặc tối đen như mực, có thoạt nhìn như là lấm tấm đá cuội, có thoạt nhìn dữ tợn đá lởm chởm phiếm  kim chúc sáng bóng.



	Dịch tiểu thất nhìn quanh đã lâu, lại thủy chung không phát hiện đến khi đích cái kia Hoàng Tuyền lộ. Nhu biết Hoàng Tuyền lộ vượt qua  cơ hồ trăm vạn lý, như thế một cái quái vật lớn, là không thể ẩn giấu đi đích, hiện tại nó  vô tung tích, như vậy hay không ý nghĩa hai người thuộc loại bất đồng không gian.



	Nhưng hắn không cho là mình có đả thông không gian đích lực lượng, mặc dù hồn hỏa cường thịnh trở lại, cũng làm không được điểm ấy, này càng làm cho hắn nghi hoặc khó hiểu.



	Đây là Ma Vực sao?



	Dịch tiểu thất mờ mịt chung quanh, nếu trước kia ở Hoàng Tuyền trên đường hắn còn có không ngừng đi phía trước đích tinh thần, hiện tại hắn thật không biết hạ bước nên đi làm sao .



	Tại đây cái tàn sát bừa bãi  sắc bén quái phong đích ‘ ngoài không gian ’, hắn giống như là duy nhất đích sinh linh, khôn cùng đích cô tịch biến mất tâm linh, giờ khắc này hắn ngược lại nhưng thật ra hy vọng đó là một Tu La địa ngục, mặc dù là bị đầy trời ma đầu vây quanh, cũng so với như vậy tới cường.



	Mười ngày sau, sắc mặt tiều tụy đích dịch tiểu thất đứng ở một viên ‘ vẫn thạch ’ thượng nhìn ra xa bát phương, đập vào mắt chứng kiến,thấy vẫn là hoang vu một mảnh.



	Tiếp theo hắn sắc mặt quái dị địa cúi đầu nhìn phía hai tay, nguyên bản khiết hoàn mỹ đích bàn tay hiện giờ thế nhưng trở nên tiều tụy héo rút, giống như quỷ trảo.



	Nguyên lai, hồn lực khô kiệt sau, hồn thể tạm thời lui cư nhị tuyến, tim của hắn bẩn mà bắt đầu nhảy lên, máu bạc bạc lưu động, hô hấp tiến vào tuần hoàn, nặng tố đích ** hết thảy cơ năng toàn diện sống lại.



	Này vốn là kiện chuyện tốt, nhưng là vấn đề là nơi này không có gì thực vật cung cấp nuôi dưỡng, dinh dưỡng không chiếm được bổ sung, năng lượng tiêu hao rất nhanh khiến cho thân thể suy sụp  đi xuống.



	Nếu hiện tại hắn đích hồn lực đầy đủ, lợi dụng hồn thể thao túng thịt khu, sở có vấn đề liền giải quyết dễ dàng, không khéo chính là, hắn hồn lực hết sạch, không có mấy tháng mơ tưởng khôi phục lại, mà **  là không thể chịu đựng quá mấy tháng đích.



	Hơn ác liệt chính là, một khi mất đi thịt khu, hắn đích căn nguyên hồn thể sẽ lộ ra ngoài giới bên ngoài, đây cũng không phải là Hoàng Tuyền lộ, hồn thể bại lộ ở như thế thô bạo đích trận gió dương khí hạ, cho dù hắn hồn thể cường thịnh trở lại hơn lần, cũng nhịn không được lâu lâu.



	Lâm vào loại này ghê tởm tuần hoàn, dịch tiểu thất tuy rằng miễn cưỡng làm cho tân sinh đích hồn lực duy trì pháp thân, nhưng không cách nào vãn hồi xu hướng suy tàn. Lúc này hai tay hai chân cơ thể đều hiện ra héo rũ trạng thái, quá không được bao lâu, loại tình huống này sẽ thổi quét toàn thân, thân thể một khi hoàn toàn mất đi sinh cơ, hồn thể liền mất đi cái chắn.



	Lúc này đây chỉ sợ ngay cả hồn thể đều không thể bảo toàn xuống dưới, chân chính là hồn phách câu diệt.



	Không thể tưởng được tử quá một lần còn muốn chết lại một lần, này thật sự là kiện châm chọc chuyện.



	Hắn mồm to hô hấp kia mang theo cay độc đích không khí, hắn ẩn ẩn phát hiện, nơi này đích không khí chủ yếu thành phần không phải dưỡng khí, nó có chứa nào đó ăn mòn tính, nếu đổi làm từ trước, gần vài hớp có thể làm cho hắn chết đi, nhưng là trùng kiến thịt khu sau, tựa hồ chính đuổi dần thích ứng nó.



	Đó là một cùng hắn nguyên lai chỗ,nơi đích địa cầu không gian khác hẳn có khác thế giới, đáng tiếc hắn đã muốn không cơ hội thăm dò .



	Cảm thán hết sức, đột nhiên thấy phương xa tựa hồ có cái gì ở di động.



	Hắn giật mình mới tỉnh ngộ lại, vội vàng phục hạ thân đi, hai mắt gắt gao nhìn chằm chằm kia di động vật.



	Cũng không lâu lắm, mắt thường rốt cục thấy rõ ràng, mấy cái màu xanh thân hình đích sinh vật giương nanh múa vuốt địa phá không tới.



	Ma đầu? Thoạt nhìn không giống... Chẳng lẽ là Ma Vực đích cái khác quái vật?



	Dịch tiểu thất trong lòng hiểu được, bằng hắn hiện tại đích suy yếu trạng thái, gặp được ma đầu linh tinh đích quái vật hẳn phải chết không thể nghi ngờ.



	Kia mấy cái màu xanh quái thú càng bay càng gần, nhưng thấy chúng nó trên người thuyên  dây cương, mặt sau kéo một cái con rết hình dạng đích mộc chế thuyền. Hình dạng dữ tợn đích quái thú phối hợp con rết thuyền gỗ, kéo dài qua ở phiếm  u quang đích hư không, này hình ảnh thoạt nhìn là như thế đích quỷ dị.



	Dịch tiểu thất thần tình ngạc nhiên, khi hắn nhìn đến kia chỉ thể tích khổng lồ đích con rết thuyền gỗ thượng tựa hồ có người ảnh chớp động, một lòng rồi đột nhiên bang bang loạn nhảy dựng lên.



	Có người? Này thuyền gỗ là từ nhân khống chế đích? Đây không phải là tôi tịch mịch lâu lắm sinh ra đích ảo giác đi?



	Dịch tiểu thất hiện tại không thể vận dụng hồn niệm nhìn quét, nhưng hắn hiểu được, này có thể là hắn cuối cùng đích cơ hội, tả hữu là tử, không bằng đánh bạc nhất đổ.



	Mắt thấy quái thú tha làm được con rết mộc thuyền sẽ theo hắn phía dưới hư không xuyên qua, hắn dùng trong cơ thể còn thừa đích hồn lực thúc dục hồn tức, lâm khoảng không hướng tới mộc thuyền bay vút mà đi.



	Nháy mắt vượt qua trăm trượng khoảng cách, trong cơ thể hồn lực háo khoảng không, dọc theo quán tính lại bay ra hơn mười trượng, vừa lúc đến thuyền gỗ trên không, đúng lúc này, thân thể đột nhiên trầm xuống, cả người như là một chút lần nặng, lưu tinh bàn hướng tới thuyền gỗ rơi xuống.



	Phù phù!



	Dịch tiểu thất kết rắn chắc thực địa suất ở con rết mộc thuyền thượng, trên thuyền vang lên một mảnh kinh hô.



	Rơi thất vựng bát tố đích dịch tiểu thất miễn cưỡng mở hai mắt, khi hắn thấy rõ bốn phía hé ra trương mang theo kinh nghi đích nhân loại gương mặt, trong lòng lược khoan, thân thể tái cũng vô pháp duy trì, hôn mê qua đi. ! ~!.

==================================================

=== Đệ 009 chương trăm lễ thuyền thượng khai thác đá khách (#9) ===

Người đăng: buikhiemhtc@

Không biết qua bao lâu, khi hắn lần thứ hai mở to mắt, phát hiện mình đã muốn đưa thân vào một cái đơn sơ đích sương phòng nội. 



	Bên cạnh chờ đợi đích một gã mặt chữ điền đại hán cùng một gã thiếu niên nhìn thấy hắn tỉnh lại, lập tức vây quanh lại đây, mang theo vài phần kinh hỉ cùng kính sợ hỏi han: "Ngài... Ngài tỉnh lại rồi?"



	Bọn họ đích khẩu âm tuy rằng cổ quái, nhưng dịch tiểu thất hay là nghe đã hiểu, này ngược lại làm cho hắn rất là nghi hoặc, xem bọn hắn trên người dày đích áo da mao lĩnh, cùng loại cổ đại hộ săn bắn trang phục.



	"Các ngươi là... Đây là đang làm sao?" Hắn quơ quơ đầu, hoài nghi này đó chính là ảo giác.



	Trung niên nhân kia vội vàng nói: "Ta chờ là khai thác đá khách, hồn sư hiện tại đang ở chúng ta đích khai thác đá thuyền thượng."



	"Khai thác đá khách?" Dịch tiểu thất nghe không hiểu lắm, nhưng nghĩ muốn những người này nếu cứu mình, hiển nhiên đối hắn không có ác ý gì, vì thế ngữ khí chân thành địa nói, Đúng vậy nhị vị đã cứu ta đi, ân cứu mạng, không biết nên như thế nào báo đáp."



	Trung niên nhân cùng thiếu niên hai mặt nhìn nhau, lập tức trung niên nhân khom người nói: "Hồn sư ngài quá khách khí, việc này chính là cơ duyên xảo hợp, đắc mông hồn sư quang lâm, đã muốn vẻ vang cho kẻ hèn này, nào dám xa cầu cái khác, càng tuyệt không gì không an phận chi nghĩ muốn."



